"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2013-2014","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",560,545,535,577,492,515,513,488,482,453,5160
"2013-2014","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",194,201,195,204,175,192,186,199,225,225,1996
"2013-2014","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2361,2308,2373,2314,2295,2438,2446,2429,2660,2534,24158
"2013-2014","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",437,462,422,442,409,453,470,392,407,467,4361
"2013-2014","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4175,4662,4885,4832,5029,5163,5019,5234,5544,5594,50137
"2013-2014","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1365,1341,1472,1401,1444,1454,1485,1503,1570,1555,14590
"2013-2014","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4345,4414,4718,4691,4731,4704,4833,4673,4967,4871,46947
"2013-2014","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1633,1799,1711,1747,1726,1697,1792,1731,1896,1836,17568
"2013-2014","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2243,2396,2433,2350,2430,2361,2444,2362,2490,2546,24055
"2013-2014","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",1962,2071,2095,2062,2064,2129,2188,2122,2236,2021,20950
"2013-2014","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3642,4048,4637,4508,4421,4536,4438,4270,4183,4009,42692
"2013-2014","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1750,1875,1818,1781,1904,1844,1898,1875,2019,1915,18679
"2013-2014","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3284,3414,3513,3447,3344,3397,3470,3333,3574,3543,34319
"2013-2014","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",919,1032,1035,1004,994,1016,1018,1041,1067,1066,10192
"2013-2014","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",292,306,325,297,306,321,319,296,314,304,3080
"2013-2014","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",323,352,329,324,349,365,365,349,395,397,3548
"2013-2014","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2096,2190,2122,2086,2098,2218,2101,2253,2296,2221,21681
"2013-2014","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",271,274,275,252,264,277,289,289,287,313,2791
"2013-2014","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",112,122,125,125,116,121,95,100,145,101,1162
"2013-2014","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",609,625,602,569,646,580,617,578,624,604,6054
"2013-2014","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1352,1463,1493,1466,1430,1539,1431,1451,1597,1514,14736
"2013-2014","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1282,1326,1325,1317,1322,1275,1274,1335,1376,1373,13205
"2013-2014","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",988,1125,1150,1162,1181,1173,1248,1226,1301,1312,11866
"2013-2014","B15199","Moose Factory Island DSAB","Public School Board",41,33,39,35,34,28,26,27,14,20,297
"2013-2014","B15202","Moosonee DSAB","Public School Board",30,32,31,30,30,36,20,16,20,21,266
"2013-2014","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",610,704,618,655,620,659,624,671,721,704,6586
"2013-2014","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1312,1451,1466,1498,1525,1510,1536,1496,1583,1570,14947
