"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","786861","St. Dominic Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2405 Rebecca St","Oakville, Town of","Oakville","L6L2B1","580",43.40072,-79.7191,6,100,4,4,10,0,87,79,85,96,95,56,NA,NA,NA,9,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","789232","St. Elizabeth Seton Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","5070 Dryden Ave","Burlington, City of","Burlington","L7L6Y3","365",43.39979,-79.7942,10,100,0,0,10,0,76,62,64,92,82,56,NA,NA,NA,5,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","696392","St. Francis Xavier Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","1145 Bronte Street South","Milton, Town of","Milton","L9T8B4","2305",43.48773,-79.8578,31,100,4,5,13,1,NA,NA,NA,NA,NA,NA,NA,NA,82,15,3,51
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","792039","St. Francis of Assisi Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","120 Sinclair Ave","Halton Hills, Town of","Georgetown","L7G5Z6","340",43.6471,-79.8951,5,100,0,0,20,0,65,52,59,76,69,28,NA,NA,NA,10,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","793884","St. Gabriel Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2227 Parkway Dr","Burlington, City of","Burlington","L7P1S9","530",43.35557,-79.8261,11,100,2,4,15,1,68,52,63,85,90,33,NA,NA,NA,13,2,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","755052","St. Gregory the Great Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","138 Sixteen Mile Drive","Oakville, Town of","Oakville","L6M0T7","610",43.47689,-79.7358,22,100,11,14,8,0,79,77,77,97,97,60,NA,NA,NA,15,1,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","798010","St. Ignatius of Loyola Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","1550 Nottinghill Gate","Oakville, Town of","Oakville","L6M1X7","1205",43.44472,-79.7336,23,99,5,6,15,1,NA,NA,NA,NA,NA,NA,NA,NA,93,14,2,71
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","801283","St. Joan of Arc Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2912 Westoak Trails Blvd","Oakville, Town of","Oakville","L6M4T7","355",43.4312,-79.759,15,95,10,10,10,0,76,82,66,93,91,61,NA,NA,NA,10,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","804410","St. John (Burlington) Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","653 Brant St","Burlington, City of","Burlington","L7R2H1","295",43.33121,-79.8047,5,100,5,5,10,0,68,55,48,83,100,71,NA,NA,NA,20,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","680039","St. John Paul II Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2130 Kingsridge Dr","Oakville, Town of","Oakville","L6M4Z2","440",43.44244,-79.7582,10,100,5,10,10,0,72,58,56,80,89,46,NA,NA,NA,10,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","809144","St. Joseph (Acton) Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","147 Mill Street","Halton Hills, Town of","Acton","L7J1G7","330",43.6243,-80.045,5,100,0,0,10,0,71,49,63,92,87,58,NA,NA,NA,10,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","772099","St. Kateri Tekakwitha Catholic Secondary Catholic School","Catholic","Not applicable","Secondary","English","9-12","1125 Kennedy Circle","Milton, Town of","Milton","L9T5S5","125",43.509091,-79.836758,35,100,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,47
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","820679","St. Luke Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2750 Kingsway Dr","Oakville, Town of","Oakville","L6J7G5","180",43.497,-79.662,10,100,10,10,15,0,83,89,72,100,100,94,NA,NA,NA,10,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","821241","St. Marguerite d'Youville Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","1359 Bayshire Dr","Oakville, Town of","Oakville","L6H6C7","385",43.49439,-79.6935,10,100,5,5,5,0,92,84,96,96,94,59,NA,NA,NA,10,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","823058","St. Mark Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2145 Upper Middle Rd","Burlington, City of","Burlington","L7P4G1","375",43.35937,-79.8424,0,100,0,0,10,0,88,78,78,73,73,28,NA,NA,NA,5,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","681423","St. Mary Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2175 Colonel William Pky","Oakville, Town of","Oakville","L6M0B7","760",43.42348,-79.7713,17,99,5,7,8,1,82,81,77,93,98,53,NA,NA,NA,12,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","823180","St. Matthew Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","1050 Nottinghill Gate","Oakville, Town of","Oakville","L6M2G3","415",43.44018,-79.7165,20,100,0,5,15,0,90,90,88,100,95,73,NA,NA,NA,10,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","834319","St. Michael Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","165 Sewell Dr","Oakville, Town of","Oakville","L6H1E3","250",43.46316,-79.6954,15,100,10,5,15,0,84,68,48,95,81,38,NA,NA,NA,20,10,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","798827","St. Nicholas Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","477 Warminster Drive","Oakville, Town of","Oakville","L6L4N4","560",43.42251,-79.704,15,100,8,8,10,0,76,65,66,98,92,66,NA,NA,NA,17,2,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","839442","St. Patrick Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","200 Kenwood Ave","Burlington, City of","Burlington","L7L4L8","295",43.36964,-79.7375,5,100,0,0,10,0,88,76,82,88,96,48,NA,NA,NA,10,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","840912","St. Paul Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","530 Cumberland Ave","Burlington, City of","Burlington","L7N2X2","360",43.34737,-79.7808,10,100,0,0,10,0,77,66,64,90,77,42,NA,NA,NA,10,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","843989","St. Peter Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","137 Dixon Drive","Milton, Town of","Milton","L9T5P7","605",43.53378,-79.8643,14,100,3,3,12,1,83,70,60,84,77,50,NA,NA,NA,10,4,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","848484","St. Raphael Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","4056 New St","Burlington, City of","Burlington","L7L1S9","365",43.3542,-79.7672,10,100,5,5,15,0,90,82,82,97,100,58,NA,NA,NA,10,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","794978","St. Scholastica Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","170 WHITLOCK AVE","Milton, Town of","Town of Milton","L9E1K6","725",43.485202,-79.85223,19,99,7,10,5,0,69,51,47,91,91,57,NA,NA,NA,16,1,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","729159","St. Teresa of Calcutta Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","1190 Westview Terrace","Oakville, Town of","Oakville","L6M3N2","320",43.45103,-79.7357,5,100,0,5,10,0,91,94,74,79,86,66,NA,NA,NA,15,5,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","854212","St. Thomas Aquinas Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","124 Dorval Dr","Oakville, Town of","Oakville","L6K2W1","1115",43.43615,-79.6803,21,100,7,7,15,2,NA,NA,NA,NA,NA,NA,NA,NA,88,14,1,66
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","856630","St. Timothy Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","2141 Deer Run Ave","Burlington, City of","Burlington","L7M4C7","570",43.37593,-79.8246,6,100,1,2,13,0,77,77,83,94,94,55,NA,NA,NA,5,1,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","858889","St. Vincent Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","1280 Braeside Dr","Oakville, Town of","Oakville","L6J2A4","155",43.46591,-79.6565,10,100,5,10,20,0,92,100,83,100,100,82,NA,NA,NA,10,0,NA
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)","684465","Thomas Merton Catholic Secondary School","Catholic","Adult","Secondary","English","9-12","255 Morden Road","Oakville, Town of","Oakville","L6K2S2","130",43.33232,-79.8083,20,100,15,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","000779","Abbey Lane Public School","Public","Not applicable","Elementary","English","JK-8","1160 Old Abbey Lane","Oakville, Town of","Oakville","L6M1S4","280",43.44565,-79.7113,40,95,5,10,20,0,67,60,47,83,100,56,NA,NA,NA,20,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","913715","Abbey Park High School","Public","Not applicable","Secondary","English","9-12","1455 Glen Abbey Gate","Oakville, Town of","Oakville","L6M2G5","1200",43.43636,-79.7362,48,97,7,7,30,18,NA,NA,NA,NA,NA,NA,NA,NA,91,16,1,80
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","890332","Acton District High School","Public","Not applicable","Secondary","English","9-12","21 Cedar Rd","Halton Hills, Town of","Acton","L7J2V2","430",43.64305,-80.0332,10,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,82,5,5,18
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","492381","Acton Elementary School","Public","Not applicable","Elementary","English","7-8","21 Cedar Road","Halton Hills, Town of","Acton","L7J2V2","195",43.6433085140005,-80.0333503089997,10,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","006777","Aldershot Elementary School","Public","Not applicable","Elementary","English","7-8","50 Fairwood Place W","Burlington, City of","Burlington","L7T1E5","220",43.30783,-79.8579,20,100,5,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","890987","Aldershot High School","Public","Not applicable","Secondary","English","9-12","50 Fairwood Pl W","Burlington, City of","Burlington","L7T1E5","770",43.3036,-79.8526,26,98,2,2,23,5,NA,NA,NA,NA,NA,NA,NA,NA,92,10,4,65
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","033680","Alexander's Public School","Public","Not applicable","Elementary","English","JK-8","2223 Sutton Drive","Burlington, City of","BURLINGTON","L7L0B9","495",43.40582,-79.7853,30,95,0,5,15,0,78,76,54,84,88,59,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","344051","Alton Village Public School","Public","Not applicable","Elementary","English","JK-8","3290 Steeplechase Drive","Burlington, City of","Burlington","L7M0W1","1095",43.39996,-79.8267,52,100,7,10,10,0,88,88,87,95,94,69,NA,NA,NA,8,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","251664","Anne J. MacArthur Public School","Public","Not applicable","Elementary","English","JK-8","820 Farmstead Drive","Milton, Town of","Milton","L9T8J6","1140",43.49625,-79.8613,66,100,9,12,8,0,73,63,57,89,84,57,NA,NA,NA,17,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","124887","Boyne Public School","Public","Not applicable","Elementary","English","JK-8","1110 Farmstead Drive","Milton, Town of","Milton","L9E0B5","1245",43.4909,-79.8537,75,100,17,21,9,0,82,71,58,87,82,45,NA,NA,NA,17,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","059501","Brant Hills Public School","Public","Not applicable","Elementary","English","JK-8","2330 Duncaster Dr","Burlington, City of","Burlington","L7P4C3","310",43.36496,-79.8458,10,100,0,0,20,0,74,33,67,77,73,27,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","066249","Brookdale Public School","Public","Not applicable","Elementary","English","JK-8","1195 Bridge Rd","Oakville, Town of","Oakville","L6L2C3","280",43.42498,-79.7035,35,100,10,15,15,0,76,67,57,93,89,59,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","066761","Brookville Public School","Public","Not applicable","Elementary","English","JK-8","11325 Guelph Line","Milton, Town of","Campbellville","L0P1B0","345",43.53337,-80.0474,10,100,5,5,15,0,81,70,74,96,92,76,NA,NA,NA,5,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","058360","Bruce T Lindley Public School","Public","Not applicable","Elementary","English","JK-6","2510 Cavendish Dr","Burlington, City of","Burlington","L7P4K5","310",43.37116,-79.8392,15,95,5,5,15,0,71,79,64,100,100,58,NA,NA,NA,5,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","586248","Bruce Trail Public School","Public","Not applicable","Elementary","English","JK-8","1199 Costigan Road","Milton, Town of","Milton","L9T6N8","1130",43.52311,-79.8494,61,100,9,10,12,0,69,57,64,90,84,43,NA,NA,NA,11,2,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","070777","Burlington Central Elementary School","Public","Not applicable","Elementary","English","7-8","1433 Baldwin St","Burlington, City of","Burlington","L7S1K4","220",43.32953,-79.8054,10,95,0,5,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","897353","Burlington Central High School","Public","Not applicable","Secondary","English","9-12","1433 Baldwin St","Burlington, City of","Burlington","L7S1K4","760",43.32951,-79.806,36,96,7,8,23,3,NA,NA,NA,NA,NA,NA,NA,NA,87,15,4,66
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","411795","C H Norton Public School","Public","Not applicable","Elementary","English","JK-8","2120 Cleaver Ave","Burlington, City of","Burlington","L7M4B6","480",43.37908,-79.813,20,95,0,5,20,0,91,82,82,93,95,50,NA,NA,NA,10,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","085898","Captain R. Wilson Public School","Public","Not applicable","Elementary","English","JK-8","2145 Grand Oak Trail","Oakville, Town of","Oakville","L6M4S7","780",43.42888,-79.7592,57,99,20,25,10,1,81,78,82,95,93,79,NA,NA,NA,12,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","090140","Centennial Middle School","Public","Not applicable","Elementary","English","6-8","233 Delrex Blvd","Halton Hills, Town of","Georgetown","L7G4G1","370",43.6433,-79.8985,15,100,0,0,20,5,NA,NA,NA,89,91,39,NA,NA,NA,10,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","094455","Central Public School","Public","Not applicable","Elementary","English","JK-6","638 Brant St","Burlington, City of","Burlington","L7R2H2","335",43.32992,-79.8047,20,100,5,5,15,0,84,85,65,79,84,58,NA,NA,NA,15,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","077046","Charles R. Beaudoin Public School","Public","Not applicable","Elementary","English","JK-8","4313 Clubview Dr","Burlington, City of","Burlington","L7M5A1","610",43.39672,-79.8078,35,97,4,5,27,19,76,76,64,96,96,69,NA,NA,NA,7,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","076970","Chris Hadfield Public School","Public","Not applicable","Elementary","English","JK-8","1114 Woodward Ave","Milton, Town of","Milton","L9T5P5","975",43.53492,-79.8676,61,100,12,15,8,1,82,72,76,91,93,68,NA,NA,NA,11,4,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","111090","Clarksdale Public School","Public","Not applicable","Elementary","English","JK-6","2399 Mountainside Dr","Burlington, City of","Burlington","L7P1C6","370",43.35369,-79.8125,30,100,0,5,10,0,82,83,70,85,85,56,NA,NA,NA,15,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","967740","Craig Kielburger Secondary School","Public","Not applicable","Secondary","English","9-12","1151 Ferguson Drive","Milton, Town of","Milton","L9T7V8","2030",43.51472,-79.8268,42,98,6,5,27,1,NA,NA,NA,NA,NA,NA,NA,NA,84,12,5,57
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","147281","Dr Charles Best Public School","Public","Not applicable","Elementary","English","JK-5","3110 Parkgate Cres","Burlington, City of","Burlington","L7M1C7","215",43.36358,-79.814,20,100,10,5,10,0,96,85,78,NA,NA,NA,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","179950","Dr. David R. Williams Public School","Public","Not applicable","Elementary","English","JK-8","3199 Post Rd.","Oakville, Town of","Oakville","L6H7C5","1075",43.486429,-79.733027,72,99,16,19,6,1,90,82,76,96,96,75,NA,NA,NA,15,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","893675","Dr. Frank J. Hayden Secondary School","Public","Not applicable","Secondary","English","9-12","3040 Tim Dobbie Drive","Burlington, City of","Burlington","L7M0M3","1480",43.39801,-79.8184,31,99,2,2,22,1,NA,NA,NA,NA,NA,NA,NA,NA,90,9,1,46
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","156469","E J James Public School","Public","Not applicable","Elementary","English","1-8","338 Cairncroft Rd","Oakville, Town of","Oakville","L6J4M6","420",43.46817,-79.658,35,100,5,0,10,5,95,88,79,96,100,81,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","169110","E W Foster Public School","Public","Not applicable","Elementary","English","JK-5","320 Coxe Blvd","Milton, Town of","Milton","L9T4M5","295",43.51985,-79.8617,30,100,0,0,10,0,80,72,65,NA,NA,NA,NA,NA,NA,5,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","164267","Eastview Public School","Public","Not applicable","Elementary","English","JK-8","2266 Hixon St","Oakville, Town of","Oakville","L6L1T4","480",43.40123,-79.7102,30,100,5,10,25,0,93,89,81,100,84,49,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","913260","Elsie MacGill Secondary School","Public","Not applicable","Secondary","English","9-12","1410 Bronte St.","Milton, Town of","Milton","L9E1B9","120",43.48286,-79.84773,50,100,5,10,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,41
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","206470","Emily Carr Public School","Public","Not applicable","Elementary","English","JK-8","2255 Pine Glen Road","Oakville, Town of","Oakville","L6M0G5","765",43.44276,-79.7637,49,100,15,19,13,1,88,78,82,92,95,49,NA,NA,NA,11,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","121112","Escarpment View Public School","Public","Not applicable","Elementary","English","JK-8","351 Scott Blvd.","Milton, Town of","Milton","L9T0T1","1075",43.49751,-79.8812,61,99,7,9,10,0,89,86,75,92,86,52,NA,NA,NA,12,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","180123","Ethel Gardiner Public School","Public","Not applicable","Elementary","English","JK-8","14365 Danby Road","Halton Hills, Town of","Georgetown","L7G6L8","675",43.62676,-79.8813,26,99,2,3,17,3,85,75,62,86,89,56,NA,NA,NA,4,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","193046","Falgarwood Public School","Public","Not applicable","Elementary","English","JK-8","1385 Gainsborough Dr","Oakville, Town of","Oakville","L6H2H7","500",43.47923,-79.6841,50,95,15,15,20,0,70,68,68,83,94,54,NA,NA,NA,15,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","194263","Florence Meares Public School","Public","Not applicable","Elementary","English","JK-8","2102 Berwick Dr","Burlington, City of","Burlington","L7M4W6","600",43.38627,-79.8088,21,99,4,6,14,1,86,76,67,93,93,46,NA,NA,NA,9,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","474578","Forest Trail Public School (Elementary)","Public","Not applicable","Elementary","English","1-8","1406 Pine Glen Road","Oakville, Town of","Oakville","L6M4B9","510",43.45077,-79.7531,62,96,7,9,8,4,98,98,91,100,100,81,NA,NA,NA,10,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","206474","Frontenac Public School","Public","Not applicable","Elementary","English","JK-8","5140 Pinedale Ave","Burlington, City of","Burlington","L7L3V4","560",43.37414,-79.7529,14,99,3,4,17,1,68,52,58,76,83,43,NA,NA,NA,8,1,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","901439","Garth Webb Secondary School","Public","Not applicable","Secondary","English","9-12","2820 Westoak Trails Boulevard","Oakville, Town of","Oakville","L6M4W2","1770",43.4348,-79.7547,45,97,8,9,15,0,NA,NA,NA,NA,NA,NA,NA,NA,90,12,1,68
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","940968","Gary Allan High School - Burlington","Public","Alternative","Secondary","English","9-12","3250 New St","Burlington, City of","Burlington","L7N1M8","215",43.3434,-79.7767,20,100,5,5,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","940925","Gary Allan High School - STEP","Public","Alternative","Secondary","English","9-12","3250 New Street","Burlington, City of","Burlington","L7N1M8","90",43.46277,-79.7021,10,100,0,0,70,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","212369","George Kennedy Public School","Public","Not applicable","Elementary","English","JK-6","75 Weber Dr","Halton Hills, Town of","Georgetown","L7G1C5","340",43.645,-79.8867,10,100,0,0,10,0,80,60,59,NA,NA,NA,NA,NA,NA,5,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","912433","Georgetown District High School","Public","Not applicable","Secondary","English","9-12","70 Guelph St","Halton Hills, Town of","Georgetown","L7G3Z5","1530",43.65082,-79.9211,12,98,0,0,37,3,NA,NA,NA,NA,NA,NA,NA,NA,86,4,2,48
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","216267","Gladys Speers Public School","Public","Not applicable","Elementary","English","JK-6","2150 Samway Rd","Oakville, Town of","Oakville","L6L2P6","345",43.41007,-79.7151,30,95,10,5,10,0,88,82,75,85,85,46,NA,NA,NA,5,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","220523","Glen Williams Public School","Public","Not applicable","Elementary","English","JK-5","512 Main St","Halton Hills, Town of","Glen Williams","L7G3S8","205",43.66993,-79.9274,10,100,0,0,5,0,61,46,50,NA,NA,NA,NA,NA,NA,5,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","220426","Glenview Public School","Public","Not applicable","Elementary","English","JK-6","143 Townsend Ave","Burlington, City of","Burlington","L7T1Z1","390",43.30835,-79.846,10,100,0,0,10,0,90,71,66,90,80,50,NA,NA,NA,10,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","245259","Harrison Public School","Public","Not applicable","Elementary","English","JK-5","59 Rexway Dr","Halton Hills, Town of","Georgetown","L7G1P9","215",43.64653,-79.9091,10,95,5,0,20,0,57,39,39,NA,NA,NA,NA,NA,NA,10,5,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","111600","Hawthorne Village Public School","Public","Not applicable","Elementary","English","JK-8","850 Bennett Blvd.","Milton, Town of","Milton","L9T6X9","995",43.51421,-79.838,49,99,5,7,12,1,72,67,59,92,89,44,NA,NA,NA,9,3,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","253340","Heritage Glen Public School","Public","Not applicable","Elementary","English","JK-8","1641 Heritage Way","Oakville, Town of","Oakville","L6M2Z4","665",43.43198,-79.7418,51,99,10,14,13,1,80,76,64,95,91,75,NA,NA,NA,16,2,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","158377","Irma Coulson Public School","Public","Not applicable","Elementary","English","JK-8","625 Sauve Street","Milton, Town of","Milton","L9T8M4","1020",43.5229,-79.8423,61,99,10,11,12,1,72,71,57,93,89,51,NA,NA,NA,9,3,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","918300","Iroquois Ridge High School","Public","Not applicable","Secondary","English","9-12","1123 Glenashton Dr","Oakville, Town of","Oakville","L6H5M1","1530",43.48865,-79.6991,55,98,7,8,22,11,NA,NA,NA,NA,NA,NA,NA,NA,94,15,0,84
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","280356","J M Denyes Public School","Public","Not applicable","Elementary","English","JK-5","215 Thomas St","Milton, Town of","Milton","L9T2E5","280",43.50969,-79.8765,25,100,5,0,15,0,67,59,54,NA,NA,NA,NA,NA,NA,15,0,NA
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)","138990","James W. Hill Public School","Public","Not applicable","Elementary","English","JK-8","2860 Kingsway Drive","Oakville, Town of","Oakville","L6J6R3","635",43.50138,-79.6614,56,99,12,14,8,1,83,75,75,89,91,71,NA,NA,NA,13,4,NA
