"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2013-2014","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2092,2107,2334,3948,10481
"2013-2014","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2543,2515,2732,4031,11821
"2013-2014","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1543,1581,1515,2217,6856
"2013-2014","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4401,4633,4675,6925,20634
"2013-2014","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",604,589,560,849,2602
"2013-2014","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1883,1920,2044,2278,8125
"2013-2014","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4413,4461,4616,4873,18363
"2013-2014","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",8751,8856,9330,11923,38860
"2014-2015","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",780,803,789,1218,3590
"2014-2015","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",808,916,1071,1211,4006
"2014-2015","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1163,1250,1480,2026,5919
"2014-2015","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1018,1069,1305,1820,5212
"2014-2015","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",795,804,789,1043,3431
"2014-2015","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",330,341,311,407,1389
"2014-2015","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",971,1037,1104,1215,4327
"2014-2015","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",454,415,439,411,1719
"2014-2015","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",136,147,144,208,635
"2014-2015","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",87,101,93,216,497
"2014-2015","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",703,811,679,709,2902
"2014-2015","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",224,220,219,228,891
"2014-2015","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",692,751,744,868,3055
"2014-2015","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",31,38,25,23,117
"2014-2015","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",447,494,472,539,1952
"2014-2015","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1231,1259,1236,1173,4899
"2014-2015","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",416,389,422,461,1688
"2014-2015","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",438,436,348,447,1669
"2014-2015","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",896,891,904,1057,3748
"2014-2015","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2585,2738,2947,4107,12377
"2014-2015","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",628,648,696,1044,3016
"2014-2015","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7622,7808,7913,9290,32633
"2014-2015","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1641,1703,1674,2252,7270
"2014-2015","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4901,5134,5195,6339,21569
"2014-2015","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1917,2021,2060,3438,9436
"2014-2015","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2884,2691,2824,3418,11817
"2014-2015","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2395,2451,2452,2949,10247
"2014-2015","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4146,4207,4137,5981,18471
"2014-2015","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2245,2329,2310,3974,10858
"2014-2015","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3325,3414,3652,5225,15616
"2014-2015","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1107,1154,1239,1643,5143
"2014-2015","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",323,352,330,368,1373
"2014-2015","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",332,274,271,473,1350
"2014-2015","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",48,49,40,63,200
"2014-2015","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2160,2358,2512,3744,10774
"2014-2015","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",451,478,477,727,2133
"2014-2015","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",90,102,87,119,398
"2014-2015","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",667,785,784,936,3172
"2014-2015","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1652,1748,1853,2563,7816
